Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 25 3",1,121,350,150,25,3,100,24,28,100,1,16
3,move,"move 23 29",2,126,350,150,25,3,100,23,29,100,1,16
4,move,"move 1 15",3,131,350,150,25,3,100,23,29,100,1,15
5,move,"move 24 4",1,136,350,150,24,4,100,23,29,100,1,15
6,move,"move 23 28",2,141,350,150,24,4,100,23,28,100,1,15
7,nothing,"nothing "Player chose to do nothing"",3,141,350,150,24,4,100,23,28,100,1,15
8,move,"move 25 5",1,146,350,150,25,5,100,23,28,100,1,15
9,move,"move 23 27",2,151,350,150,25,5,100,23,27,100,1,15
10,move,"move 0 15",3,156,350,150,25,5,100,23,27,100,0,15
11,move,"move 25 4",1,161,350,150,25,4,100,23,27,100,0,15
12,dig,"dig 22 26",2,168,350,150,25,4,100,23,27,100,0,15
13,nothing,"nothing "Player chose to do nothing"",3,168,350,150,25,4,100,23,27,100,0,15
14,move,"move 24 5",1,173,350,150,24,5,100,23,27,100,0,15
15,move,"move 24 28",2,178,350,150,24,5,100,24,28,100,0,15
16,move,"move 1 15",3,183,350,150,24,5,100,24,28,100,1,15
17,dig,"dig 23 6",1,190,350,150,24,5,100,24,28,100,1,15
18,move,"move 23 29",2,195,350,150,24,5,100,23,29,100,1,15
19,dig,"dig 0 14",3,202,350,150,24,5,100,23,29,100,1,15
20,dig,"dig 24 6",1,209,350,150,24,5,100,23,29,100,1,15
21,dig,"dig 23 30",2,216,350,150,24,5,100,23,29,100,1,15
22,dig,"dig 1 14",3,223,350,150,24,5,100,23,29,100,1,15
23,move,"move 25 4",1,228,350,150,25,4,100,23,29,100,1,15
24,move,"move 23 30",2,233,350,150,25,4,100,23,30,100,1,15
25,move,"move 1 16",3,238,350,150,25,4,100,23,30,100,1,16
26,move,"move 25 3",1,243,350,150,25,3,100,23,30,100,1,16
27,move,"move 23 31",2,248,350,150,25,3,100,23,31,100,1,16
28,move,"move 1 17",3,253,350,150,25,3,100,23,31,100,1,17
29,nothing,"nothing "Player chose to do nothing"",1,253,350,150,25,3,100,23,31,100,1,17
30,dig,"dig 22 30",2,260,350,150,25,3,100,23,31,100,1,17
31,move,"move 0 17",3,265,350,150,25,3,100,23,31,100,0,17
32,dig,"dig 25 2",1,272,350,150,25,3,100,23,31,100,0,17
33,nothing,"nothing "Player chose to do nothing"",2,272,350,150,25,3,100,23,31,100,0,17
34,nothing,"nothing "Player chose to do nothing"",3,272,350,150,25,3,100,23,31,100,0,17
35,move,"move 25 4",1,277,350,150,25,4,100,23,31,100,0,17
36,move,"move 23 30",2,282,350,150,25,4,100,23,30,100,0,17
37,nothing,"nothing "Player chose to do nothing"",3,282,350,150,25,4,100,23,30,100,0,17
38,dig,"dig 26 3",1,289,350,150,25,4,100,23,30,100,0,17
39,nothing,"nothing "Player chose to do nothing"",2,289,350,150,25,4,100,23,30,100,0,17
40,nothing,"nothing "Player chose to do nothing"",3,289,350,150,25,4,100,23,30,100,0,17
41,nothing,"nothing "Player chose to do nothing"",1,289,350,150,25,4,100,23,30,100,0,17
42,move,"move 23 31",2,294,350,150,25,4,100,23,31,100,0,17
43,nothing,"nothing "Player chose to do nothing"",3,294,350,150,25,4,100,23,31,100,0,17
44,move,"move 24 4",1,299,350,150,24,4,100,23,31,100,0,17
45,dig,"dig 24 30",2,306,350,150,24,4,100,23,31,100,0,17
46,nothing,"nothing "Player chose to do nothing"",3,306,350,150,24,4,100,23,31,100,0,17
47,move,"move 23 5",1,311,350,150,23,5,100,23,31,100,0,17
48,move,"move 22 31",2,316,350,150,23,5,100,22,31,100,0,17
49,dig,"dig 0 18",3,323,350,150,23,5,100,22,31,100,0,17
50,move,"move 24 6",1,328,350,150,24,6,100,22,31,100,0,17
51,move,"move 23 30",2,333,350,150,24,6,100,23,30,100,0,17
52,nothing,"nothing "Player chose to do nothing"",3,333,350,150,24,6,100,23,30,100,0,17
53,move,"move 23 5",1,338,350,150,23,5,100,23,30,100,0,17
54,move,"move 22 30",2,343,350,150,23,5,100,22,30,100,0,17
55,move,"move 0 18",3,348,350,150,23,5,100,22,30,100,0,18
56,move,"move 24 5",1,353,350,150,24,5,100,22,30,100,0,18
57,dig,"dig 22 29",2,360,350,150,24,5,100,22,30,100,0,18
58,move,"move 0 17",3,365,350,150,24,5,100,22,30,100,0,17
59,move,"move 24 6",1,370,350,150,24,6,100,22,30,100,0,17
60,move,"move 23 29",2,375,350,150,24,6,100,23,29,100,0,17
61,nothing,"nothing "Player chose to do nothing"",3,375,350,150,24,6,100,23,29,100,0,17
62,move,"move 24 5",1,380,350,150,24,5,100,23,29,100,0,17
63,move,"move 24 29",2,385,350,150,24,5,100,24,29,100,0,17
