Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,8,28,100,8,4,100,31,16
2,move,"move 9 27",1,121,350,150,9,27,100,8,4,100,31,16
3,move,"move 9 5",2,126,350,150,9,27,100,9,5,100,31,16
4,move,"move 30 17",3,131,350,150,9,27,100,9,5,100,30,17
5,dig,"dig 10 26",1,138,350,150,9,27,100,9,5,100,30,17
6,dig,"dig 10 6",2,145,350,150,9,27,100,9,5,100,30,17
7,dig,"dig 29 17",3,152,350,150,9,27,100,9,5,100,30,17
8,move,"move 10 26",1,157,350,150,10,26,100,9,5,100,30,17
9,move,"move 10 6",2,162,350,150,10,26,100,10,6,100,30,17
10,move,"move 29 17",3,167,350,150,10,26,100,10,6,100,29,17
11,dig,"dig 11 25",1,174,350,150,10,26,100,10,6,100,29,17
12,move,"move 11 7",2,179,350,150,10,26,100,11,7,100,29,17
13,move,"move 28 17",3,184,350,150,10,26,100,11,7,100,28,17
14,move,"move 11 25",1,189,350,150,11,25,100,11,7,100,28,17
15,move,"move 12 8",2,194,350,150,11,25,100,12,8,100,28,17
16,move,"move 27 17",3,199,350,150,11,25,100,12,8,100,27,17
17,move,"move 12 24",1,204,350,150,12,24,100,12,8,100,27,17
18,dig,"dig 13 9",2,211,350,150,12,24,100,12,8,100,27,17
19,move,"move 26 17",3,216,350,150,12,24,100,12,8,100,26,17
20,move,"move 13 23",1,221,350,150,13,23,100,12,8,100,26,17
21,move,"move 13 9",2,226,350,150,13,23,100,13,9,100,26,17
22,move,"move 25 17",3,231,350,150,13,23,100,13,9,100,25,17
23,dig,"dig 14 22",1,238,350,150,13,23,100,13,9,100,25,17
24,move,"move 14 10",2,243,350,150,13,23,100,14,10,100,25,17
25,dig,"dig 24 17",3,250,350,150,13,23,100,14,10,100,25,17
26,move,"move 14 22",1,255,350,150,14,22,100,14,10,100,25,17
27,move,"move 14 11",2,260,350,150,14,22,100,14,11,100,25,17
28,move,"move 24 17",3,265,350,150,14,22,100,14,11,100,24,17
29,dig,"dig 15 21",1,272,350,150,14,22,100,14,11,100,24,17
30,move,"move 14 12",2,277,350,150,14,22,100,14,12,100,24,17
31,dig,"dig 23 17",3,284,350,150,14,22,100,14,12,100,24,17
32,move,"move 15 21",1,289,350,150,15,21,100,14,12,100,24,17
33,move,"move 14 13",2,294,350,150,15,21,100,14,13,100,24,17
34,move,"move 23 17",3,299,350,150,15,21,100,14,13,100,23,17
35,move,"move 16 20",1,304,350,150,16,20,100,14,13,100,23,17
36,move,"move 14 14",2,309,350,150,16,20,100,14,14,100,23,17
37,dig,"dig 22 17",3,316,350,150,16,20,100,14,14,100,23,17
38,dig,"dig 17 19",1,323,350,150,16,20,100,14,14,100,23,17
39,move,"move 14 15",2,332,360,150,16,20,110,14,15,100,23,17
40,move,"move 22 17",3,337,360,150,16,20,110,14,15,100,22,17
41,move,"move 17 19",1,342,360,150,17,19,110,14,15,100,22,17
42,move,"move 15 16",2,347,360,150,17,19,110,15,16,100,22,17
43,move,"move 21 17",3,352,360,150,17,19,110,15,16,100,21,17
44,dig,"dig 18 18",1,359,360,150,17,19,110,15,16,100,21,17
45,move,"move 16 17",2,364,360,150,17,19,110,16,17,100,21,17
46,move,"move 20 17",3,369,360,150,17,19,110,16,17,100,20,17
47,move,"move 18 18",1,374,360,150,18,18,110,16,17,100,20,17
48,move,"move 17 17",2,379,360,150,18,18,110,17,17,100,20,17
49,dig,"dig 19 17",3,386,360,150,18,18,110,17,17,100,20,17
50,move,"move 18 17",1,394,370,160,18,17,110,17,17,100,20,17
51,move,"move 18 16",2,399,370,160,18,17,110,18,16,100,20,17
52,move,"move 21 16",3,404,370,160,18,17,110,18,16,100,21,16
53,move,"move 19 16",1,409,370,160,19,16,110,18,16,100,21,16
54,move,"move 19 15",2,414,370,160,19,16,110,19,15,100,21,16
55,dig,"dig 22 15",3,421,370,160,19,16,110,19,15,100,21,16
